Id,Name,IsActive,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
a952d7da-e171-4218-bb00-e97f607c73b6,Bristol Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
cec2f7aa-8a16-4bc2-b27f-68cd4519d9e0,Bronson Laboratories (BD) Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
a5269db4-e5e4-43b0-ac20-1e92fa5d7a68,C2C Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
d8e03685-a33d-40e3-bc0f-af813d2c7df5,Centeon Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
3d778521-5c81-41c5-a06c-7792493d68d7,Central Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9263a0b3-22c2-462b-adc6-0f4ab8825786,Chemist Laboratories Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
f8b4392a-d046-4067-acdf-e9cc9234a032,City Overseas Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
2a39da80-a92e-410a-b7e3-74cd7031bb17,Concord Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
a8732b35-8781-4021-a738-9ff067e48c7a,Cosmic Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
430d1b98-2f09-46b4-a0af-2702775b914a,Cosmo Pharma Laboratories Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9971386b-db46-4b63-add4-a2abee916582,Credence Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9faa63f1-5286-49fd-ae6d-050ec8fadd43,CuRx,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
e1498f52-604a-4094-832f-a120b991c6e1,DBL Healthcare Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
3a85b032-806f-453c-b858-5a8662cf518a,DBL Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
f5f0b553-1017-4ade-b543-ae492955f3e1,Decent Pharma Laboratories Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
1a12abb5-4c8d-4c50-8cd4-64a5d013ff06,Delta Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
3a448586-417a-418b-990a-78585515deab,Derma Health Care,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b0b86cb0-21cf-4bc5-8592-330957980b1b,Dermolive,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
8a373ba6-c7b0-4cc0-82f2-30b33b5322bd,Desh Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
e9f0c6d4-4ccd-4cd2-8cda-15268d194cf2,Discount Pharma,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
f4536eb6-fb41-4ffa-ad9f-bb4a5bd5f598,Diva’s Secret,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b390927a-e214-410c-91bf-f5d73a1aca01,Doctor TIMS Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
396dc100-c11b-494d-bdf3-8592e79ed195,Doctor’s Chemical Works Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
01c2f58a-83ec-4e5b-9d4b-453e39057027,Dr Rhazes,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
fe2317fe-736e-42d7-8bc6-8bab8b748068,Drug International Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
2ca32e99-c1a3-49ff-bf87-024fbfb69fd8,Edruc Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b67f2528-ab8b-43b6-924e-a6816414327f,EMCS Pharma Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9f8ba8ae-e1bb-4468-9482-3ea42104101e,"EMPECS Medical Device Co., Ltd.",t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
916f23b1-78ea-4741-9c32-cc2cd0141a28,Empiric Laboratories Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
7cd061db-0242-4e87-b30c-8545cbb8d3ec,Ergon Pharmaceuticals (AY),t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
e4d56720-0b0f-4c58-a07b-07423dd865a3,Eskayef Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9a8ec56a-4a26-4b9d-8202-b691b43aaf43,Ethical Drugs Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
04ae692b-22e0-4dce-ab44-33083f8cfbcd,Euro Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
10fba207-65de-4184-b69c-e98b1509f939,Everest Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
ac213ad5-491e-447b-977a-ae31880a4fe0,FnF Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
0b51694b-e9e7-4dce-a0c7-9b99eb24cfe1,Gaco Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
418e9bed-177b-4c12-826d-db21a4a81649,General Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
8c9dc1d6-4374-4442-9312-3fb93e0c8a46,Genvio Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b6ecc8f5-cc7f-4f4c-b64b-8df8ed8d8009,Get Well Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
da0055a3-3fcf-4c32-ad3a-0bc41af175d7,GlaxoSmithKline Pharmaceuticals,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9f94e1a0-1c38-492e-bc2a-317e05bc606d,Globe Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
4c568079-4764-42c8-b2fc-c416a04735f2,Globex Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
80a15ac5-37ee-4891-8bab-53d26352b8ad,Gonoshasthaya Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
40a21cfc-cdfd-4bdc-b6ff-c7f33cd9d187,Goodman Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b86f828d-9db6-4cd5-8a8d-0141e5e0f0cb,Green Laboratories (Unani),t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
5d9224a6-e2bc-41db-bf40-c67fd84f75c1,Greenland Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b6b5e249-6ccd-45e3-8ccd-b64dfa4d6c71,Guardian Healthcare Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
5c0714e1-de1b-41d3-8fe1-c6d2b3979afb,Hallmark Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
a7ca252a-a8cf-4c56-895e-a038070ab652,Healthcare Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
4aa5d19c-3105-4fc6-885a-2c180b689923,Herbex & co (Unani),t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
ff5a6a96-0959-4da7-8e90-4192fe025c44,Hudson Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
8d25290f-f09b-4037-be7d-a2e437f575c5,Ibn Sina Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
35ac57b2-6745-4a9d-9f41-dd2f03d29b2a,Incepta Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
1ca44147-06bb-4532-b04b-1068500508b2,Indo Bangla Pharmaceutical,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
179a410d-48ef-4616-b4ec-e8d37c1e038f,Institute of Public Health (IPH),t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
3cecc127-1728-4c39-b829-17421630fc01,International Agencies (Bd.) Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
6af83e3b-bf93-41f5-ba41-d05490f74ff6,Janata Traders,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
f25049af-8ba0-47f0-acd4-9c193c35c49f,Jayson Natural Products Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
f9a94299-c412-4d44-b3d1-f9dcfee401c5,Jayson Pharmaceutical Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
3ae017b4-8ff7-4b70-b392-7e0f52a63f75,Jenphar Bangladesh Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
ca3e7ed7-4817-4574-8012-745113334c62,JMI Syringes & Medical Devices Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9782e909-ae40-4930-95a9-3413c222d77a,Kawsar Chemicals,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
1d58366e-9b83-44ae-a3b7-a7d499f4ba84,Kemiko Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
45159293-bb8e-4f6d-97d7-5a39eb7daf22,Kumudini Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
115ecd63-1976-4d6d-9cf6-7262cf3af6c3,Labaid Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
f8825263-9fdd-4cfd-94d3-dbc1065e8fef,Leon Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
3319a917-cb85-4481-a84f-8cce62e58fb0,Lexicon Pharma,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
0278679a-c444-4f5b-8072-b72d06d11dc0,Libra Infusions Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
4435f75d-4233-49f6-8b4a-e290417ea910,Libra Pharmaceuticls Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b772eee2-bf9d-405e-af73-0b12c0da4642,Maks Drug Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
7f058b46-3e41-4482-a19c-5ed4482f8084,Marie Stopes Bangladesh,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
cc39d366-f310-4def-805b-cdb528bd56cc,Marker Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
889ca0a2-7688-44ec-832d-a525e8b39519,Marksman Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
6c950095-a27b-45ab-829d-c1805ee4922d,Medicon Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
a91c7bb0-03fc-4700-a87b-4c6ec431b5b3,Medimet Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
1893b745-747b-4ee4-a207-0db33b093bfe,MedRx Life Science Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
e4f4149c-b5d0-42a6-a481-c2ca682728fe,MGH Healthcare Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
de7ccfa7-7959-4735-8f72-4a4a27c4afa9,Microlife Corporation,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
d5caa63f-123c-4856-88ee-bdc7ab9a9f58,MicroMed,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
d1d78b9e-df4e-444b-b210-8e67d048d3cc,Millat Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
5f79a9cd-47cd-4206-b529-7bce889d454d,Modern Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
5fe4c9f2-2214-4d9b-8de7-950d1a9b2ecd,Momotaz Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
6fe70710-aae0-4e0e-bd46-9ce63d63c26c,Monicopharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
5fef65bf-f811-4ab5-9c97-2bbe68800ec1,MST Pharma,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
a8561128-7226-4eae-a6a1-1aa88d477d5a,Mundipharma (BD) Pvt. Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
f61dea75-7a92-415a-a560-8077152b698a,Mystic Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
3384a9e7-1966-4704-9ebd-a686d9a3a6c8,Naafco Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
51d316a8-7dd5-41f7-a87a-d3c0008c438f,National Drug Co. Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
fc9284ff-def0-4205-b886-84e509caec48,Navana Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
1caa6b00-31fc-4474-bae7-faadbe3f2a01,NEMUS Pharmaceutical Pvt. Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
b509ac23-8aea-4bb3-87c2-fb31a2a8b4c0,Nevian Lifescience PLC,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
cb200f8d-5cd5-4570-a6aa-dd63f89030ea,Nipa Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
7289bc59-a9ce-48a1-bbad-0ae573fd7d72,NIPRO,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
21484146-50c9-43b1-a226-e07073896b29,NIPRO JMI Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
be46131f-a7f4-493c-9cc7-33ab4b824118,Novatek Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
839909ef-3c5a-4fa8-adea-78b260668d26,Novelta Bestway Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
fa89bbf5-ef77-4acb-8549-c5773c3777f5,Novo Healthcare and Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
98d8db2a-cfe1-46ad-8566-9c81af2d87a8,Novo Nordisk Pharma (Pvt.) Ltd,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
0f5e965d-8e47-4c8b-be3b-c2eba652daf1,Novus Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
29f821f3-4fd1-44e0-b220-5393ad2652f5,Nutrilife Pharma,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
858aac68-4e23-427c-a7b6-ddbb76c3cee7,Nuvista Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
5954cea1-f679-45a0-b80c-fa5a3bbdc905,One Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
980ce940-0b80-427a-9598-f62b4c810e1f,Opsonin Herbal & Nutraceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
9e3c8be1-43c0-4f91-8e40-07a97c531ff8,Opsonin Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
4c922bea-1d7c-4e37-b5bd-58ce63aba9e1,Orion Infusion Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
989b59d8-aa32-47dd-8e9d-46bc06e56ec3,Orion Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
35eeca8a-b0d9-4ee1-8683-9fa2317fb43c,OSL Pharma Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
2dc9e77c-ed00-4583-9e23-7f862f4c3562,Oyster Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
e45db55d-6086-4815-8e9e-024ebf351a20,Pacific Pharmaceuticals Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
7585feeb-9271-476e-8117-74a9deebdfba,Peoples Pharma Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
e87cbafc-2148-406f-920e-449fb6dc2ba2,Pfizer,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
0b4d9147-9c6c-49db-84b2-4a0978dba71b,Pharmacil Limited,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
d62a448f-6995-4530-8c8b-08fa102df6bd,Pharmadesh Laboratories Ltd.,t,2025-12-24 08:22:43.768896+06,System,2025-12-24 08:22:43.768896+06,System
